,Date,GME,SPY,IC
166,2020-08-28,1.3475,330.497131,0.24699109620618634
167,2020-08-31,1.67,329.299835,0.31318399199018687
168,2020-09-01,1.9125,332.401367,0.33194556665548136
169,2020-09-02,1.9275,337.20929,0.372383814325941
170,2020-09-03,1.955,325.604523,0.46547232822991025
171,2020-09-04,1.9125,322.946014,0.49569265392410006
172,2020-09-08,1.925,314.122131,0.5224067544338332
173,2020-09-09,1.8375,320.325226,0.5107198856415861
174,2020-09-10,1.5575,314.763214,0.5234770123137164
175,2020-09-11,1.5225,314.923553,0.5199431810301366
176,2020-09-14,1.7275,319.07135,0.5034432188769092
177,2020-09-15,1.7725,320.683533,0.5013538223932323
178,2020-09-16,2.17,319.410858,0.5202768484466633
179,2020-09-17,2.3,316.601501,0.5079013998020236
180,2020-09-18,2.3675,312.956512,0.4676668636474122
181,2020-09-21,2.1875,309.473511,0.44247071387577824
182,2020-09-22,2.64,312.625305,0.3920923492658854
183,2020-09-23,2.51,305.375214,0.37266516871005
184,2020-09-24,2.285,306.189209,0.3534133869515691
185,2020-09-25,2.505,311.139313,0.30946197744439113
186,2020-09-28,2.5225,316.307159,0.3092291723643484
187,2020-09-29,2.5875,314.584595,0.32130627583693955
188,2020-09-30,2.55,316.969727,0.34704865800211004
189,2020-10-01,2.4425,319.004639,0.38703188936470045
190,2020-10-02,2.3475,315.975922,0.4138067349910483
191,2020-10-05,2.365,321.579102,0.4280587041064374
192,2020-10-06,2.2825,317.007568,0.4625108153741491
193,2020-10-07,2.34,322.525574,0.468140955006138
194,2020-10-08,3.3725,325.384033,0.5027608073251043
195,2020-10-09,3.005,328.289764,0.5423611032390994
196,2020-10-12,2.95,333.571106,0.5733293032281416
197,2020-10-13,2.97,331.394196,0.5732368502015339
198,2020-10-14,3.0625,329.311951,0.5752263305197356
199,2020-10-15,3.4575,328.904938,0.5643959844871179
200,2020-10-16,3.3275,328.706238,0.5554271254357889
201,2020-10-19,3.4775,323.70871,0.5540940033929843
202,2020-10-20,3.465,325.005402,0.5650367811079621
203,2020-10-21,3.525,324.390198,0.5853861041822478
204,2020-10-22,3.7275,326.169495,0.6156509385569389
205,2020-10-23,3.75,327.276947,0.6526608723811024
206,2020-10-26,3.3625,321.228912,0.6685688755122577
207,2020-10-27,3.1725,320.12149,0.6671780045391277
208,2020-10-28,2.955,309.180084,0.6719833882605639
209,2020-10-29,2.9325,312.322449,0.6921567697432476
210,2020-10-30,2.6175,309.066528,0.7138399567252952
211,2020-11-02,2.6875,312.53067,0.730368419105948
212,2020-11-03,2.8925,318.048676,0.7593661650532708
213,2020-11-04,2.7275,325.156891,0.794814783508968
214,2020-11-05,2.8625,331.498322,0.801374137222989
215,2020-11-06,2.965,331.422607,0.8033840862085394
216,2020-11-09,2.8725,335.587097,0.7981822601487315
217,2020-11-10,2.775,335.094971,0.7721245114545946
218,2020-11-11,2.9375,337.584259,0.7716134772792734
219,2020-11-12,2.7825,334.309357,0.7731487162906385
220,2020-11-13,2.7525,338.937744,0.7357899096168199
221,2020-11-16,3.015,343.168549,0.6654153494668517
222,2020-11-17,2.9075,341.322845,0.6501194994206074
223,2020-11-18,2.8925,337.215118,0.6527539732251434
224,2020-11-19,3.115,338.634796,0.6899588341461039
225,2020-11-20,3.1775,336.315918,0.72335731265141
226,2020-11-23,3.475,338.332031,0.7117649436650187
227,2020-11-24,3.4175,343.783722,0.7246891058808417
228,2020-11-25,3.6875,343.253754,0.622963547658603
229,2020-11-27,4.02,344.209686,0.3165614857278962
230,2020-11-30,4.14,342.685822,0.3345403758363487
231,2020-12-01,3.95,346.433838,0.22841660415593487
232,2020-12-02,4.145,347.16272,0.23464847010716638
233,2020-12-03,4.03,347.068115,0.23600498726547753
234,2020-12-04,4.225,350.05896,0.2363694483286511
235,2020-12-07,4.0875,349.339569,0.21760545373102405
236,2020-12-08,4.235,350.361908,0.2025845160885122
237,2020-12-09,3.415,347.219513,0.1836589782586431
238,2020-12-10,3.53,347.105957,0.15500359407359268
239,2020-12-11,3.3275,346.698883,0.12747202525592694
240,2020-12-14,3.18,345.146698,0.09776643887451333
241,2020-12-15,3.4625,349.812744,0.06314718513598055
242,2020-12-16,3.4625,350.361908,0.03481690400447362
243,2020-12-17,3.7075,352.321106,0.00486457299882078
244,2020-12-18,3.9075,350.914307,-0.022611382772787007
245,2020-12-21,3.8825,349.659576,-0.05333605731437279
