Date,GME,SPY,IC
2020-08-19,1.18,317.911926,0.0089991537259663
2020-08-20,1.1525,318.901703,0.0400950259935445
2020-08-21,1.2575,320.03302,0.0431931279188388
2020-08-24,1.2175,323.275909,0.0581256367773427
2020-08-25,1.245,324.407135,0.0856143832507989
2020-08-26,1.2775,327.659546,0.1313732393564465
2020-08-27,1.3125,328.376038,0.2013697126970792
2020-08-28,1.3475,330.497131,0.2469910962061863
2020-08-31,1.67,329.299835,0.3131839919901868
2020-09-01,1.9125,332.401367,0.3319455666554813
2020-09-02,1.9275,337.20929,0.372383814325941
2020-09-03,1.955,325.604523,0.4654723282299102
2020-09-04,1.9125,322.946014,0.4956926539241
2020-09-08,1.925,314.122131,0.5224067544338332
2020-09-09,1.8375,320.325226,0.5107198856415861
2020-09-10,1.5575,314.763214,0.5234770123137164
2020-09-11,1.5225,314.923553,0.5199431810301366
2020-09-14,1.7275,319.07135,0.5034432188769092
2020-09-15,1.7725,320.683533,0.5013538223932323
2020-09-16,2.17,319.410858,0.5202768484466633
2020-09-17,2.3,316.601501,0.5079013998020236
2020-09-18,2.3675,312.956512,0.4676668636474122
2020-09-21,2.1875,309.473511,0.4424707138757782
2020-09-22,2.64,312.625305,0.3920923492658854
2020-09-23,2.51,305.375214,0.37266516871005
2020-09-24,2.285,306.189209,0.3534133869515691
2020-09-25,2.505,311.139313,0.3094619774443911
2020-09-28,2.5225,316.307159,0.3092291723643484
2020-09-29,2.5875,314.584595,0.3213062758369395
2020-09-30,2.55,316.969727,0.34704865800211
2020-10-01,2.4425,319.004639,0.3870318893647004
2020-10-02,2.3475,315.975922,0.4138067349910483
2020-10-05,2.365,321.579102,0.4280587041064374
2020-10-06,2.2825,317.007568,0.4625108153741491
2020-10-07,2.34,322.525574,0.468140955006138
2020-10-08,3.3725,325.384033,0.5027608073251043
2020-10-09,3.005,328.289764,0.5423611032390994
2020-10-12,2.95,333.571106,0.5733293032281416
2020-10-13,2.97,331.394196,0.5732368502015339
2020-10-14,3.0625,329.311951,0.5752263305197356
2020-10-15,3.4575,328.904938,0.5643959844871179
2020-10-16,3.3275,328.706238,0.5554271254357889
2020-10-19,3.4775,323.70871,0.5540940033929843
2020-10-20,3.465,325.005402,0.5650367811079621
2020-10-21,3.525,324.390198,0.5853861041822478
2020-10-22,3.7275,326.169495,0.6156509385569389
2020-10-23,3.75,327.276947,0.6526608723811024
2020-10-26,3.3625,321.228912,0.6685688755122577
2020-10-27,3.1725,320.12149,0.6671780045391277
2020-10-28,2.955,309.180084,0.6719833882605639
2020-10-29,2.9325,312.322449,0.6921567697432476
2020-10-30,2.6175,309.066528,0.7138399567252952
2020-11-02,2.6875,312.53067,0.730368419105948
2020-11-03,2.8925,318.048676,0.7593661650532708
2020-11-04,2.7275,325.156891,0.794814783508968
2020-11-05,2.8625,331.498322,0.801374137222989
2020-11-06,2.965,331.422607,0.8033840862085394
2020-11-09,2.8725,335.587097,0.7981822601487315
2020-11-10,2.775,335.094971,0.7721245114545946
2020-11-11,2.9375,337.584259,0.7716134772792734
2020-11-12,2.7825,334.309357,0.7731487162906385
2020-11-13,2.7525,338.937744,0.7357899096168199
2020-11-16,3.015,343.168549,0.6654153494668517
2020-11-17,2.9075,341.322845,0.6501194994206074
2020-11-18,2.8925,337.215118,0.6527539732251434
2020-11-19,3.115,338.634796,0.6899588341461039
2020-11-20,3.1775,336.315918,0.72335731265141
2020-11-23,3.475,338.332031,0.7117649436650187
2020-11-24,3.4175,343.783722,0.7246891058808417
2020-11-25,3.6875,343.253754,0.622963547658603
2020-11-27,4.02,344.209686,0.3165614857278962
2020-11-30,4.14,342.685822,0.3345403758363487
2020-12-01,3.95,346.433838,0.2284166041559348
2020-12-02,4.145,347.16272,0.2346484701071663
2020-12-03,4.03,347.068115,0.2360049872654775
2020-12-04,4.225,350.05896,0.2363694483286511
2020-12-07,4.0875,349.339569,0.217605453731024
2020-12-08,4.235,350.361908,0.2025845160885122
2020-12-09,3.415,347.219513,0.1836589782586431
2020-12-10,3.53,347.105957,0.1550035940735926
2020-12-11,3.3275,346.698883,0.1274720252559269
2020-12-14,3.18,345.146698,0.0977664388745133
2020-12-15,3.4625,349.812744,0.0631471851359805
2020-12-16,3.4625,350.361908,0.0348169040044736
2020-12-17,3.7075,352.321106,0.0048645729988207
2020-12-18,3.9075,350.914307,-0.022611382772787
2020-12-21,3.8825,349.659576,-0.0533360573143727
2020-12-22,4.865,349.070221,-0.0854530805713086
2020-12-23,5.1425,349.383942,-0.1209230561971611
2020-12-24,5.0375,350.743225,-0.1393705616290363
2020-12-28,5.2475,353.756409,-0.1719573840061219
2020-12-29,4.845,353.081451,-0.2018062938068139
2020-12-30,4.815,353.585236,-0.2164708545432711
2020-12-31,4.71,355.381744,-0.2443732403803265
2021-01-04,4.3125,350.543579,-0.2814226466782351
2021-01-05,4.3425,352.957947,-0.3631890884557294
2021-01-06,4.59,355.068115,-0.4266956748602387
2021-01-07,4.52,360.343506,-0.4874310838710012
2021-01-08,4.4225,362.396637,-0.4616130921423947
2021-01-11,4.985,359.953796,-0.401618380905021
2021-01-12,4.9875,360.029755,-0.3328949226995484
2021-01-13,7.85,360.999329,-0.27363261858077
2021-01-14,9.9775,359.735138,-0.2279275823720442
2021-01-15,8.875,357.111664,-0.2062864215758597
2021-01-19,9.84,359.915771,-0.2015051407639311
2021-01-20,9.78,364.896545,-0.218121727701728
2021-01-21,10.7575,365.229218,-0.2173322767674045
2021-01-22,16.252501,363.936432,-0.2080510957634595
2021-01-25,19.1975,365.371765,-0.2160554224566377
2021-01-26,36.994999,364.801453,-0.2274156525773046
2021-01-27,86.877502,355.885559,-0.2185063654958506
2021-01-28,48.400002,358.946259,-0.081644953130515
2021-01-29,81.25,351.760284,-0.0321468746060762
2021-02-01,56.25,357.615479,0.2060640289624034
2021-02-02,22.5,362.672241,0.3266876186393005
2021-02-03,23.102501,362.957428,0.3348553516983091
2021-02-04,13.375,367.082611,0.3341615116092561
2021-02-05,15.9425,368.527496,0.3293088570200638
2021-02-08,15.0,371.188995,0.3242872810680608
2021-02-09,12.5775,370.941833,0.3203606197162739
2021-02-10,12.8,370.780243,0.3011797901690175
2021-02-11,12.775,371.379059,0.2679092379797794
2021-02-12,13.1,373.213623,0.2363489975150686
2021-02-16,12.3775,372.890381,0.2348772057116402
2021-02-17,11.485,372.975983,0.2176598525914952
2021-02-18,10.1725,371.388519,0.1964464874118578
2021-02-19,10.1475,370.732727,0.1754355315532764
2021-02-22,11.5,367.881165,0.1439205924919307
2021-02-23,11.2425,368.32785,0.0863838183718222
2021-02-24,22.9275,372.386597,0.0146582747848459
2021-02-25,27.182501,363.413666,-0.0341986934506276
2021-02-26,25.434999,361.541138,-0.0984454431145069
2021-03-01,30.1,370.304962,-0.1822385891518469
2021-03-02,29.545,367.415405,-0.2213598743213596
2021-03-03,31.045,362.548737,-0.2837097606905394
2021-03-04,33.087502,358.062225,-0.3759757055055439
2021-03-05,34.435001,364.649414,-0.5032132066644226
2021-03-08,48.625,362.833862,-0.6043020877035552
2021-03-09,61.724998,368.014221,-0.6250000030543112
2021-03-10,66.25,370.304962,-0.5970923990680528
2021-03-11,65.0,374.05954,-0.5665652598241925
2021-03-12,66.125,374.563324,-0.560347517992423
2021-03-15,55.035,376.797058,-0.5582270084134401
2021-03-16,52.0425,376.321808,-0.5201009885791894
2021-03-17,52.452499,377.605011,-0.4942584400239092
2021-03-18,50.4375,372.111023,-0.4713198941638797
2021-03-19,50.067501,371.422455,-0.4054358144692452
2021-03-22,48.622501,374.388245,-0.3355062751821291
2021-03-23,45.4375,371.441559,-0.2812514364495298
2021-03-24,30.084999,369.553314,-0.2403425162556141
2021-03-25,45.9375,371.632294,-0.531058167510037
2021-03-26,45.25,377.621094,-0.476206553813894
2021-03-29,45.325001,377.430328,-0.3519467931085199
2021-03-30,48.615002,376.428986,-0.1655936409498497
2021-03-31,47.455002,377.954895,0.0308689503954432
2021-04-01,47.862499,382.036407,0.1705391864078347
2021-04-05,46.737499,387.519836,0.3130020585709592
2021-04-06,46.125,387.291016,0.4042387500265067
2021-04-07,44.4925,387.739136,0.4636516314789473
2021-04-08,42.564999,389.579681,0.5438308546644551
2021-04-09,39.59,392.411926,0.5995486569442259
2021-04-12,35.272499,392.555084,0.6275105291354145
2021-04-13,35.247501,393.718384,0.6356944895387288
2021-04-14,41.6325,392.37384,0.6262076421218397
2021-04-15,39.110001,396.588928,0.6339683335544654
2021-04-16,38.672501,397.914459,0.6351280369316331
2021-04-19,41.092499,395.959534,0.639191403723382
2021-04-20,39.6325,393.060455,0.6390000034674309
2021-04-21,39.627499,396.779663,0.633836777376314
2021-04-22,37.7925,393.155823,0.6252372940982932
2021-04-23,37.794998,397.418549,0.6034655140863364
2021-04-26,42.232498,398.248199,0.6005613192768666
2021-04-27,44.442501,398.162445,0.5992889046351303
2021-04-28,44.645,398.047974,0.5829060584155449
2021-04-29,44.047501,400.584625,0.5580356591288477
2021-04-30,43.397499,397.952606,0.544596434894985
2021-05-03,40.549999,398.810913,0.5210148822633761
2021-05-04,40.182499,396.350494,0.5050727462502731
2021-05-05,39.869999,396.474487,0.4589808352610345
2021-05-06,40.252499,399.640594,0.3992062149056765
2021-05-07,40.2775,402.549133,0.3585726383523369
2021-05-10,35.805,398.562958,0.3169162579561647
2021-05-11,36.73,395.005798,0.2727734179933174
2021-05-12,36.197498,386.613892,0.1880006428479226
2021-05-13,41.125,391.258118,0.0325999901650567
2021-05-14,39.98,397.265991,-0.0874796651484473
2021-05-17,45.150002,396.255127,-0.1950801893925751
2021-05-18,45.1675,392.841125,-0.2787342060912542
2021-05-19,42.2075,391.811188,-0.3663245163551594
